Rank,Team,2021 4th-quarter-points-per-game
1,LA Chargers,10.6
2,Pittsburgh,9.8
3,New England,9.6
4,New Orleans,9.5
5,Buffalo,9.5
6,Dallas,8.6
7,Philadelphia,8.6
8,Baltimore,8.0
9,Kansas City,7.6
10,Tampa Bay,7.5
11,LA Rams,7.5
12,Miami,7.2
13,Cincinnati,7.0
14,Tennessee,6.7
15,Denver,6.5
16,Green Bay,6.4
17,NY Giants,6.4
18,Indianapolis,6.3
19,Minnesota,6.2
20,NY Jets,6.2
21,Washington,5.8
21,Detroit,5.8
23,Seattle,5.7
24,Las Vegas,5.6
25,San Francisco,5.6
26,Chicago,5.3
27,Arizona,5.3
28,Houston,5.1
28,Carolina,5.1
30,Cleveland,4.7
31,Jacksonville,4.6
32,Atlanta,4.1
