Rank,Team,2021 4th-quarter-time-of-possession-share-pct
1,Arizona,58.33%
2,Cleveland,56.05%
3,Indianapolis,55.07%
4,Tennessee,54.96%
5,Denver,54.24%
6,Miami,54.16%
7,Washington,53.93%
8,Buffalo,53.64%
9,Pittsburgh,52.91%
10,New Orleans,52.61%
11,New England,52.35%
12,Cincinnati,50.94%
13,Tampa Bay,50.92%
14,LA Rams,50.88%
15,Detroit,50.71%
16,Carolina,50.69%
17,Green Bay,50.29%
18,San Francisco,49.98%
19,LA Chargers,49.95%
20,Minnesota,49.92%
21,Baltimore,48.75%
22,Chicago,48.69%
23,NY Giants,47.78%
24,Philadelphia,47.59%
25,Las Vegas,47.00%
26,Dallas,46.09%
27,NY Jets,44.85%
28,Kansas City,44.65%
29,Atlanta,44.52%
30,Jacksonville,44.29%
31,Houston,42.79%
32,Seattle,39.91%
