Rank,Team,2021 field-goal-got-blocked-pct
1,Dallas,0.00%
1,Atlanta,0.00%
1,Pittsburgh,0.00%
1,New Orleans,0.00%
1,Las Vegas,0.00%
1,Detroit,0.00%
1,Jacksonville,0.00%
1,San Francisco,0.00%
1,NY Jets,0.00%
1,Tennessee,0.00%
1,Tampa Bay,0.00%
1,Arizona,0.00%
1,New England,0.00%
1,Kansas City,0.00%
1,Buffalo,0.00%
1,LA Chargers,0.00%
1,NY Giants,0.00%
1,LA Rams,0.00%
1,Cincinnati,0.00%
1,Baltimore,0.00%
1,Seattle,0.00%
1,Minnesota,0.00%
23,Indianapolis,2.86%
24,Philadelphia,3.03%
25,Denver,3.23%
26,Chicago,3.33%
27,Carolina,3.45%
28,Houston,3.70%
29,Cleveland,4.55%
30,Green Bay,8.33%
31,Washington,9.09%
32,Miami,9.68%
