Rank,Team,2021 field-goals-blocked-per-game
1,Denver,0.2
2,San Francisco,0.1
3,Atlanta,0.1
3,Washington,0.1
3,New Orleans,0.1
3,Cleveland,0.1
3,Baltimore,0.1
3,Minnesota,0.1
9,Tennessee,0.1
9,Green Bay,0.1
9,Philadelphia,0.1
12,Buffalo,0.1
13,Kansas City,0.1
14,Dallas,0.0
14,Pittsburgh,0.0
14,Las Vegas,0.0
14,Detroit,0.0
14,Chicago,0.0
14,Jacksonville,0.0
14,NY Jets,0.0
14,Miami,0.0
14,Houston,0.0
14,Tampa Bay,0.0
14,Arizona,0.0
14,New England,0.0
14,Carolina,0.0
14,LA Chargers,0.0
14,NY Giants,0.0
14,LA Rams,0.0
14,Cincinnati,0.0
14,Seattle,0.0
14,Indianapolis,0.0
