Rank,Team,2021 first-downs-per-play
1,Kansas City,0.373
2,Buffalo,0.357
3,LA Chargers,0.355
4,Tampa Bay,0.349
5,Green Bay,0.345
6,New England,0.343
7,San Francisco,0.339
8,Indianapolis,0.337
9,Dallas,0.335
10,Baltimore,0.332
11,LA Rams,0.33
12,Cleveland,0.324
13,Arizona,0.323
14,Las Vegas,0.323
15,Washington,0.322
16,Philadelphia,0.322
17,Denver,0.319
18,Tennessee,0.319
19,Seattle,0.317
20,Cincinnati,0.314
21,Detroit,0.312
22,Chicago,0.31
23,Minnesota,0.307
24,Atlanta,0.304
25,NY Jets,0.299
26,Miami,0.296
27,Jacksonville,0.296
28,New Orleans,0.292
29,Carolina,0.291
30,Pittsburgh,0.29
31,NY Giants,0.285
32,Houston,0.263
