Rank,Team,2021 fourth-down-conversion-pct
1,New England,71.43%
2,Kansas City,68.75%
3,Baltimore,66.67%
4,LA Chargers,64.71%
5,Cincinnati,62.50%
6,Indianapolis,62.07%
7,Las Vegas,61.90%
8,Tennessee,60.00%
9,Green Bay,59.09%
10,Jacksonville,58.06%
10,Arizona,58.06%
12,Dallas,57.69%
12,Buffalo,57.69%
14,Denver,57.14%
15,Miami,54.55%
15,Minnesota,54.55%
17,New Orleans,52.38%
17,Tampa Bay,52.38%
17,LA Rams,52.38%
20,Pittsburgh,52.17%
21,Detroit,51.22%
22,Washington,50.00%
23,NY Jets,48.28%
24,San Francisco,47.62%
25,Philadelphia,44.44%
26,NY Giants,43.33%
27,Houston,42.86%
28,Atlanta,41.67%
28,Chicago,41.67%
30,Cleveland,41.38%
31,Carolina,41.18%
32,Seattle,36.36%
