Rank,Team,2021 fourth-down-conversions-per-game
1,LA Chargers,1.3
2,Detroit,1.2
3,Jacksonville,1.1
3,Baltimore,1.1
3,Indianapolis,1.1
6,Arizona,1.0
7,Washington,0.9
7,Denver,0.9
9,Chicago,0.9
10,Dallas,0.8
10,Tennessee,0.8
10,New England,0.8
13,NY Jets,0.8
13,Carolina,0.8
15,Buffalo,0.8
16,NY Giants,0.8
17,Las Vegas,0.7
17,Green Bay,0.7
19,Cincinnati,0.7
20,Miami,0.7
20,Cleveland,0.7
20,Minnesota,0.7
23,Pittsburgh,0.7
23,Philadelphia,0.7
25,New Orleans,0.6
26,Atlanta,0.6
27,Tampa Bay,0.6
28,Kansas City,0.6
29,Houston,0.5
30,LA Rams,0.5
31,San Francisco,0.5
32,Seattle,0.2
