Rank,Team,2021 fourth-downs-per-game
1,Detroit,2.4
2,Chicago,2.1
3,Carolina,2.0
3,LA Chargers,2.0
5,Washington,1.9
6,Jacksonville,1.8
7,NY Giants,1.8
8,Arizona,1.7
9,NY Jets,1.7
9,Cleveland,1.7
9,Indianapolis,1.7
12,Denver,1.6
13,Baltimore,1.6
14,Philadelphia,1.5
15,Dallas,1.4
16,Atlanta,1.4
17,Tennessee,1.4
18,Buffalo,1.4
19,Miami,1.3
19,Minnesota,1.3
21,Pittsburgh,1.3
22,New Orleans,1.2
22,Houston,1.2
24,Green Bay,1.2
25,Las Vegas,1.2
25,New England,1.2
27,Cincinnati,1.1
28,Tampa Bay,1.1
29,San Francisco,1.1
30,LA Rams,1.0
31,Kansas City,0.8
32,Seattle,0.6
