Rank,Team,2021 fumble-recovery-pct
1,Arizona,69.49%
2,Dallas,64.29%
3,Minnesota,63.89%
4,Buffalo,61.22%
5,Miami,59.18%
6,Baltimore,55.88%
7,Washington,55.81%
8,Las Vegas,55.77%
9,Green Bay,53.85%
10,Kansas City,53.57%
11,New Orleans,53.33%
12,Philadelphia,52.38%
13,Chicago,52.27%
14,Indianapolis,51.06%
15,Tampa Bay,50.00%
15,New England,50.00%
15,NY Giants,50.00%
15,Seattle,50.00%
19,Detroit,47.06%
20,Cincinnati,46.51%
21,Atlanta,45.65%
21,Pittsburgh,45.65%
23,Houston,44.19%
24,Tennessee,43.48%
25,San Francisco,43.10%
26,Carolina,41.30%
27,Cleveland,40.91%
28,LA Chargers,39.39%
29,Denver,37.50%
30,LA Rams,36.84%
31,NY Jets,35.00%
32,Jacksonville,33.33%
