Rank,Team,2021 gross-passing-yards-per-game
1,Tampa Bay,314.9
2,Kansas City,299.8
3,LA Chargers,294.9
4,LA Rams,291.5
5,Dallas,290.7
6,Las Vegas,284.3
7,Cincinnati,281.8
8,Buffalo,267.7
9,Arizona,264.2
10,Green Bay,263.9
11,Minnesota,261.8
12,Baltimore,251.0
13,San Francisco,248.6
14,New England,240.6
15,Pittsburgh,235.1
16,Atlanta,234.5
17,NY Jets,232.9
18,Miami,231.5
19,Detroit,228.5
20,Denver,226.8
21,Seattle,224.4
22,Washington,220.4
23,Tennessee,220.3
24,Jacksonville,216.1
25,Chicago,213.8
26,Houston,213.5
27,Philadelphia,213.5
28,Cleveland,212.9
29,Indianapolis,211.1
30,Carolina,210.2
31,NY Giants,203.7
32,New Orleans,202.2
