Rank,Team,2021 gross-punt-yards-per-game
1,Houston,241.6
2,New Orleans,232.7
3,Seattle,229.1
4,Minnesota,213.2
5,Pittsburgh,205.3
6,Miami,205.2
7,Jacksonville,196.3
8,NY Giants,193.1
9,NY Jets,192.6
10,Dallas,189.5
11,Detroit,188.1
12,Carolina,187.3
13,Baltimore,185.2
14,Las Vegas,183.4
15,Denver,181.4
16,Cincinnati,178.0
17,Atlanta,176.4
18,Washington,175.6
19,Cleveland,169.4
20,Chicago,168.5
21,Tampa Bay,166.2
22,San Francisco,162.9
23,Indianapolis,154.5
24,Arizona,154.5
25,Tennessee,152.0
26,Green Bay,150.1
27,Philadelphia,148.2
28,LA Rams,141.1
29,New England,136.6
30,Buffalo,126.6
31,LA Chargers,124.9
32,Kansas City,115.2
