Rank,Team,2021 incompletions-per-game
1,Seattle,10.1
2,San Francisco,10.1
3,Tennessee,10.3
3,New England,10.3
5,Cincinnati,10.3
6,Arizona,10.6
7,Denver,11.0
8,Green Bay,11.1
9,Houston,11.3
10,Washington,11.4
11,Philadelphia,11.5
12,Atlanta,11.5
13,Detroit,11.6
13,Indianapolis,11.6
15,LA Rams,11.6
16,Cleveland,11.8
17,Minnesota,12.1
18,Chicago,12.4
19,Dallas,12.4
20,New Orleans,12.4
20,Miami,12.4
22,Las Vegas,12.4
23,Baltimore,12.6
24,Kansas City,13.0
25,Buffalo,13.4
26,LA Chargers,13.6
27,Pittsburgh,14.1
28,NY Giants,14.2
29,Tampa Bay,14.3
30,Jacksonville,14.3
31,NY Jets,14.5
32,Carolina,14.8
