Rank,Team,2021 kicking-points-per-game
1,Las Vegas,9.1
2,Cincinnati,8.7
3,New England,8.6
4,LA Rams,8.5
5,Baltimore,8.1
6,Minnesota,7.9
7,Kansas City,7.9
8,Indianapolis,7.8
9,Arizona,7.8
10,Tampa Bay,7.7
11,Dallas,7.7
12,Pittsburgh,7.7
13,Buffalo,7.6
14,Philadelphia,7.5
15,San Francisco,7.3
16,Green Bay,7.1
17,Tennessee,6.9
18,LA Chargers,6.6
19,Atlanta,6.5
19,Denver,6.5
21,Washington,6.4
22,New Orleans,6.2
23,Detroit,6.2
23,Chicago,6.2
25,Carolina,6.1
25,NY Giants,6.1
27,Miami,6.1
28,Seattle,5.6
29,Houston,5.2
30,NY Jets,5.1
31,Cleveland,5.0
32,Jacksonville,4.8
