Rank,Team,2021 kickoffs-per-game
1,Dallas,6.2
2,Tampa Bay,6.1
3,Buffalo,6.1
4,LA Rams,6.0
5,Kansas City,6.0
6,New England,5.9
7,LA Chargers,5.9
8,Cincinnati,5.7
9,Arizona,5.6
10,Indianapolis,5.6
11,Philadelphia,5.6
12,Minnesota,5.5
13,Green Bay,5.4
14,Tennessee,5.3
15,Baltimore,5.3
16,Las Vegas,5.2
17,Pittsburgh,5.1
18,San Francisco,5.1
19,New Orleans,4.9
20,Seattle,4.9
21,Washington,4.6
21,Miami,4.6
23,Denver,4.6
24,Detroit,4.5
25,Cleveland,4.4
25,Carolina,4.4
27,NY Jets,4.3
28,Atlanta,4.2
28,Chicago,4.2
30,NY Giants,4.1
31,Houston,3.9
32,Jacksonville,3.6
