Rank,Team,2021 offensive-touchdowns-per-game
1,Tampa Bay,3.6
1,Buffalo,3.6
3,Kansas City,3.4
4,LA Chargers,3.3
5,Dallas,3.2
6,LA Rams,3.0
7,Green Bay,2.9
8,Indianapolis,2.9
9,Arizona,2.8
10,Seattle,2.8
11,Cincinnati,2.8
12,New England,2.8
13,Tennessee,2.6
13,Philadelphia,2.6
15,San Francisco,2.6
16,Minnesota,2.6
17,New Orleans,2.4
17,Cleveland,2.4
19,Baltimore,2.3
20,Denver,2.1
21,Las Vegas,2.1
22,Detroit,2.1
23,Washington,2.0
23,NY Jets,2.0
25,Pittsburgh,1.9
26,Miami,1.9
27,Atlanta,1.8
27,Carolina,1.8
29,Chicago,1.8
30,Houston,1.7
31,Jacksonville,1.5
32,NY Giants,1.4
