Rank,Team,2021 opp-yards-per-point
1,Seattle,17.6
2,Denver,17.2
3,Dallas,16.6
4,New England,16.5
5,Kansas City,16.3
6,New Orleans,16.1
7,Cincinnati,16.1
8,Tampa Bay,16.1
9,Indianapolis,16.0
10,Tennessee,16.0
11,Buffalo,15.8
12,Baltimore,15.8
13,LA Rams,15.6
14,Miami,15.4
15,Minnesota,15.3
16,San Francisco,15.1
17,Green Bay,15.1
18,Pittsburgh,15.0
19,Arizona,14.9
20,NY Giants,14.5
21,Houston,14.5
22,Philadelphia,14.3
23,Cleveland,14.3
24,Washington,14.1
25,Detroit,13.8
26,Atlanta,13.5
27,NY Jets,13.4
28,LA Chargers,13.3
29,Chicago,13.2
30,Jacksonville,13.1
31,Las Vegas,13.0
32,Carolina,12.9
