Rank,Team,2021 opponent-1st-half-points-per-game
1,Buffalo,8.9
2,Indianapolis,8.9
3,LA Rams,9.4
4,New Orleans,9.5
4,Seattle,9.5
6,Denver,9.7
7,Miami,9.8
8,San Francisco,9.8
9,Cleveland,9.8
10,Tennessee,9.8
11,Carolina,10.2
12,Baltimore,10.3
13,Chicago,10.7
14,New England,10.7
15,Tampa Bay,11.0
16,LA Chargers,11.2
17,Dallas,11.2
18,Green Bay,11.4
19,Kansas City,11.6
20,Pittsburgh,11.7
21,Minnesota,11.7
22,Arizona,11.9
23,Houston,12.2
24,NY Giants,12.4
25,Cincinnati,12.4
26,Philadelphia,12.7
27,Atlanta,12.8
28,Las Vegas,12.9
29,Washington,13.9
30,Detroit,14.1
31,Jacksonville,14.6
32,NY Jets,15.8
