Rank,Team,2021 opponent-2nd-half-points-per-game
1,New England,8.4
2,Buffalo,8.8
3,Cincinnati,9.0
4,Denver,9.2
5,Dallas,9.8
6,New Orleans,9.8
7,Green Bay,9.9
8,Tampa Bay,9.9
9,Arizona,10.3
10,Philadelphia,10.4
11,San Francisco,10.7
11,Kansas City,10.7
13,Tennessee,10.7
14,Washington,11.6
14,Seattle,11.6
16,LA Rams,11.8
17,Miami,11.8
18,Cleveland,12.0
18,Indianapolis,12.0
20,NY Giants,12.1
21,Baltimore,12.2
22,Jacksonville,12.3
23,Las Vegas,12.6
24,Pittsburgh,12.8
25,Minnesota,13.0
26,Chicago,13.2
26,Carolina,13.2
28,Detroit,13.4
29,NY Jets,13.9
30,Atlanta,14.2
31,Houston,14.4
32,LA Chargers,15.1
