Rank,Team,2021 opponent-defensive-touchdowns-per-game
1,San Francisco,0.0
1,Tennessee,0.0
1,Buffalo,0.0
1,Green Bay,0.0
1,Minnesota,0.0
6,Philadelphia,0.1
7,NY Jets,0.1
7,Miami,0.1
7,Cleveland,0.1
7,Houston,0.1
7,Seattle,0.1
7,Indianapolis,0.1
13,Tampa Bay,0.1
14,Dallas,0.1
14,Pittsburgh,0.1
14,Arizona,0.1
17,Washington,0.1
17,Detroit,0.1
17,Chicago,0.1
17,Jacksonville,0.1
17,Carolina,0.1
22,Cincinnati,0.1
23,Kansas City,0.2
24,Las Vegas,0.2
25,Atlanta,0.2
25,New Orleans,0.2
25,Denver,0.2
25,LA Chargers,0.2
25,NY Giants,0.2
25,Baltimore,0.2
31,New England,0.2
32,LA Rams,0.2
