Rank,Team,2021 opponent-extra-point-attempts-per-game
1,Buffalo,1.7
2,Denver,1.7
3,New Orleans,1.8
4,Dallas,1.9
5,Tennessee,1.9
6,Indianapolis,2.0
7,LA Rams,2.0
8,New England,2.1
9,Cleveland,2.1
9,Carolina,2.1
11,Tampa Bay,2.1
12,Seattle,2.1
13,San Francisco,2.2
14,Cincinnati,2.2
15,Minnesota,2.2
16,Green Bay,2.3
17,Miami,2.3
18,Kansas City,2.4
19,Arizona,2.4
20,Baltimore,2.5
21,Chicago,2.6
21,LA Chargers,2.6
21,NY Giants,2.6
24,Pittsburgh,2.6
24,Philadelphia,2.6
26,Atlanta,2.6
26,Detroit,2.6
28,Las Vegas,2.7
29,Washington,2.7
30,Houston,2.8
31,Jacksonville,2.9
32,NY Jets,3.1
