Rank,Team,2021 opponent-extra-point-conversion-pct
1,Philadelphia,85.11%
2,Tennessee,85.71%
3,Seattle,86.11%
4,New England,86.49%
5,Atlanta,86.67%
6,Arizona,90.70%
7,Dallas,91.18%
7,Indianapolis,91.18%
9,Carolina,91.43%
10,Houston,91.67%
11,Baltimore,92.86%
12,Washington,93.48%
13,Pittsburgh,93.62%
13,Kansas City,93.62%
15,Jacksonville,94.00%
16,Cleveland,94.29%
17,NY Jets,94.34%
18,Tampa Bay,95.00%
19,Green Bay,95.12%
20,San Francisco,95.35%
21,Chicago,95.45%
21,NY Giants,95.45%
23,Detroit,95.56%
24,Cincinnati,95.65%
25,Las Vegas,95.83%
26,Denver,96.55%
27,New Orleans,96.77%
28,Buffalo,96.88%
29,Miami,97.44%
30,LA Chargers,97.73%
31,LA Rams,100.00%
31,Minnesota,100.00%
