Rank,Team,2021 opponent-field-goal-attempts-per-game
1,Green Bay,1.3
2,Philadelphia,1.4
3,Kansas City,1.4
4,Buffalo,1.5
5,Cleveland,1.6
5,Indianapolis,1.6
7,Atlanta,1.6
7,Baltimore,1.6
9,San Francisco,1.7
10,Arizona,1.7
11,Washington,1.7
12,Chicago,1.8
13,Cincinnati,1.8
14,Denver,1.8
15,New England,1.8
16,Tampa Bay,1.8
17,Houston,1.9
18,Seattle,1.9
19,LA Rams,2.0
20,Las Vegas,2.1
21,LA Chargers,2.1
22,Dallas,2.1
22,Pittsburgh,2.1
24,Jacksonville,2.1
25,Miami,2.2
25,Carolina,2.2
27,New Orleans,2.2
27,NY Giants,2.2
29,NY Jets,2.3
30,Tennessee,2.3
31,Minnesota,2.4
32,Detroit,2.4
