Rank,Team,2021 opponent-field-goal-conversion-pct-net-of-blocks
1,New England,66.67%
2,Baltimore,77.78%
3,Cincinnati,78.95%
4,San Francisco,80.65%
5,Indianapolis,81.48%
6,Seattle,81.82%
7,Arizona,83.33%
8,New Orleans,83.78%
8,Las Vegas,83.78%
8,Miami,83.78%
11,Dallas,84.21%
12,Tennessee,85.37%
13,Tampa Bay,85.71%
13,Denver,85.71%
15,Carolina,86.49%
16,Minnesota,87.18%
17,Houston,87.50%
18,Detroit,87.80%
18,LA Rams,87.80%
20,Jacksonville,88.89%
20,Kansas City,88.89%
22,Pittsburgh,89.47%
22,NY Giants,89.47%
24,Chicago,90.00%
25,Green Bay,91.30%
26,LA Chargers,91.43%
27,Philadelphia,91.67%
28,NY Jets,92.31%
29,Buffalo,92.59%
30,Atlanta,96.30%
31,Washington,96.43%
32,Cleveland,100.00%
