Rank,Team,2021 opponent-fourth-down-conversions-per-game
1,LA Chargers,0.4
2,Cincinnati,0.4
3,New Orleans,0.5
3,Detroit,0.5
5,San Francisco,0.6
6,Atlanta,0.6
6,Miami,0.6
6,Houston,0.6
6,Denver,0.6
6,Baltimore,0.6
11,Washington,0.7
11,Chicago,0.7
11,Carolina,0.7
11,Indianapolis,0.7
15,Pittsburgh,0.7
16,Tampa Bay,0.7
17,NY Jets,0.8
17,Seattle,0.8
19,Tennessee,0.8
19,Arizona,0.8
19,Philadelphia,0.8
22,Jacksonville,0.8
23,Green Bay,0.8
24,NY Giants,0.9
24,Minnesota,0.9
26,Dallas,0.9
27,Cleveland,0.9
28,New England,0.9
29,LA Rams,1.0
30,Buffalo,1.1
31,Las Vegas,1.2
32,Kansas City,1.3
