Rank,Team,2021 opponent-giveaway-fumble-recovery-pct
1,Miami,40.00%
2,Dallas,42.86%
3,Tampa Bay,45.16%
4,Indianapolis,46.15%
5,Kansas City,46.43%
6,Minnesota,46.67%
7,Arizona,50.00%
7,New England,50.00%
7,Denver,50.00%
10,Detroit,52.94%
11,Baltimore,53.85%
12,Buffalo,54.17%
13,Washington,55.56%
14,New Orleans,56.25%
15,LA Chargers,56.52%
16,Las Vegas,57.14%
17,Green Bay,57.89%
18,NY Giants,58.82%
19,Pittsburgh,60.00%
19,Chicago,60.00%
21,Seattle,63.16%
22,Atlanta,63.64%
23,Cincinnati,64.00%
24,San Francisco,65.71%
25,Houston,68.00%
26,LA Rams,68.18%
27,Tennessee,71.43%
28,NY Jets,73.08%
28,Carolina,73.08%
30,Cleveland,75.00%
31,Philadelphia,76.47%
32,Jacksonville,83.33%
