Rank,Team,2021 opponent-gross-passing-yards-per-game
1,Buffalo,192.5
2,New England,208.1
3,Carolina,209.4
4,Chicago,213.1
5,Cleveland,218.4
6,Arizona,228.6
7,Denver,229.5
8,Green Bay,230.7
9,LA Chargers,234.8
10,San Francisco,235.3
11,Las Vegas,235.6
12,Philadelphia,235.9
13,NY Giants,237.9
14,Atlanta,241.4
15,Jacksonville,241.8
16,New Orleans,243.0
17,Pittsburgh,243.5
18,Indianapolis,247.2
19,Miami,250.1
20,Dallas,251.0
21,Houston,255.4
22,Detroit,256.5
23,LA Rams,259.2
24,Tampa Bay,261.6
25,Kansas City,263.8
26,Washington,265.9
27,Cincinnati,266.0
28,Tennessee,268.5
29,Minnesota,275.2
30,NY Jets,275.4
31,Seattle,280.4
32,Baltimore,293.3
