Rank,Team,2021 opponent-incompletions-per-game
1,Dallas,14.3
2,Tampa Bay,13.9
3,Miami,13.8
4,Buffalo,13.6
5,Tennessee,13.4
6,Minnesota,13.2
7,Baltimore,13.2
8,New Orleans,13.1
9,Denver,13.0
9,LA Rams,13.0
11,Green Bay,12.9
12,Cincinnati,12.8
13,Seattle,12.6
14,Kansas City,12.5
15,New England,12.4
16,Cleveland,12.3
16,NY Giants,12.3
18,Indianapolis,12.2
19,Pittsburgh,12.1
20,Las Vegas,12.0
21,LA Chargers,11.9
22,Washington,11.6
23,Arizona,11.0
24,Atlanta,10.9
24,NY Jets,10.9
26,Detroit,10.9
27,San Francisco,10.8
28,Houston,10.8
29,Carolina,10.5
30,Philadelphia,10.4
31,Jacksonville,9.8
32,Chicago,9.6
