Rank,Team,2021 opponent-kicking-points-per-game
1,New England,5.4
2,Buffalo,5.6
3,Green Bay,5.7
4,Indianapolis,5.7
5,San Francisco,5.8
5,Kansas City,5.8
7,Denver,5.9
8,Philadelphia,5.9
9,Baltimore,6.0
10,Arizona,6.3
11,Cincinnati,6.4
12,Cleveland,6.5
13,Seattle,6.6
14,Tampa Bay,6.7
15,Atlanta,6.9
16,Dallas,7.1
17,LA Rams,7.2
18,New Orleans,7.2
18,Chicago,7.2
20,Washington,7.3
21,Tennessee,7.5
22,Houston,7.5
22,Carolina,7.5
24,Miami,7.7
25,Las Vegas,7.7
26,Pittsburgh,8.1
27,LA Chargers,8.2
28,Minnesota,8.2
29,Jacksonville,8.4
30,NY Giants,8.5
31,Detroit,8.9
32,NY Jets,9.3
