Rank,Team,2021 opponent-offensive-points-per-game
1,Denver,17.0
2,Buffalo,17.9
3,New England,18.1
4,New Orleans,18.6
5,LA Rams,19.5
6,San Francisco,20.2
7,Tampa Bay,20.2
8,Dallas,20.5
9,Green Bay,20.6
10,Arizona,20.9
11,Cincinnati,21.0
12,Tennessee,21.0
13,Indianapolis,21.2
14,Seattle,21.2
15,Kansas City,21.5
16,Miami,21.5
17,Baltimore,21.8
18,Cleveland,21.9
19,Carolina,22.9
20,Philadelphia,23.1
21,Chicago,23.3
21,NY Giants,23.3
23,Pittsburgh,23.9
24,Minnesota,24.1
25,Las Vegas,24.2
26,Washington,24.5
27,Jacksonville,24.6
28,Atlanta,25.2
29,LA Chargers,25.8
30,Houston,26.4
31,Detroit,26.9
32,NY Jets,29.4
