Rank,Team,2021 opponent-offensive-touchdowns-per-game
1,Denver,1.8
2,New Orleans,1.9
3,Buffalo,2.0
4,LA Rams,2.0
5,New England,2.1
6,Dallas,2.2
6,Tennessee,2.2
8,Tampa Bay,2.2
9,Miami,2.3
10,San Francisco,2.4
11,Seattle,2.4
12,Cincinnati,2.4
13,Arizona,2.4
14,Green Bay,2.4
15,Cleveland,2.5
15,Carolina,2.5
15,NY Giants,2.5
15,Indianapolis,2.5
19,Kansas City,2.6
20,Baltimore,2.6
20,Minnesota,2.6
22,Pittsburgh,2.6
23,Chicago,2.6
24,Jacksonville,2.7
25,Las Vegas,2.7
26,Philadelphia,2.8
27,Washington,2.8
28,LA Chargers,2.9
29,Atlanta,2.9
29,Detroit,2.9
31,Houston,3.1
32,NY Jets,3.3
