Rank,Team,2021 opponent-pass-attempts-per-game
1,Chicago,28.1
2,Carolina,30.3
3,New England,31.3
4,Jacksonville,31.9
5,Detroit,32.0
6,Houston,32.1
7,Arizona,32.2
8,Buffalo,32.2
9,LA Chargers,32.9
10,Denver,33.1
11,San Francisco,33.2
12,Pittsburgh,33.5
13,Cleveland,33.9
14,Atlanta,33.9
15,NY Jets,34.5
16,Green Bay,34.6
17,Philadelphia,34.8
18,New Orleans,34.8
19,Washington,35.1
19,Indianapolis,35.1
21,Dallas,35.4
22,Las Vegas,35.6
23,Miami,35.8
24,NY Giants,35.9
25,Kansas City,36.5
26,Baltimore,36.5
27,Minnesota,36.8
28,Tennessee,36.9
29,LA Rams,37.0
30,Cincinnati,37.3
31,Seattle,38.7
32,Tampa Bay,40.1
