Rank,Team,2021 opponent-passing-touchdown-pct
1,Buffalo,43.59%
2,LA Rams,45.83%
3,Jacksonville,46.15%
4,NY Jets,49.12%
5,Houston,50.94%
6,LA Chargers,51.92%
7,Atlanta,56.36%
8,New Orleans,57.14%
9,Miami,57.50%
10,Carolina,57.78%
11,San Francisco,58.33%
12,Las Vegas,58.49%
13,Dallas,58.54%
13,Seattle,58.54%
15,Philadelphia,58.82%
16,Detroit,59.62%
17,NY Giants,60.00%
18,Denver,61.11%
19,Pittsburgh,61.22%
20,Tennessee,61.54%
21,New England,61.90%
22,Minnesota,63.04%
23,Cincinnati,64.15%
24,Baltimore,64.58%
25,Kansas City,64.81%
26,Tampa Bay,65.91%
27,Chicago,65.96%
28,Washington,66.67%
29,Green Bay,67.39%
30,Cleveland,67.44%
31,Arizona,69.57%
32,Indianapolis,74.42%
