Rank,Team,2021 opponent-passing-yards-per-game
1,Buffalo,176.7
2,Chicago,191.6
3,Carolina,192.1
4,New England,193.8
5,Cleveland,202.3
6,Green Bay,212.8
7,San Francisco,213.1
8,Denver,214.8
9,Arizona,215.6
10,LA Chargers,221.2
11,Philadelphia,222.2
12,Las Vegas,223.0
13,Pittsburgh,223.8
14,New Orleans,224.8
15,NY Giants,225.8
16,Miami,227.7
17,Jacksonville,227.9
18,Atlanta,232.5
19,Indianapolis,234.1
20,Dallas,234.5
21,LA Rams,238.0
22,Houston,242.2
23,Detroit,244.7
24,Tampa Bay,245.3
25,Tennessee,247.2
26,Cincinnati,248.7
27,Kansas City,251.5
28,Minnesota,252.9
29,Washington,254.9
30,NY Jets,259.4
31,Seattle,265.5
32,Baltimore,278.9
