Rank,Team,2021 opponent-penalties-per-game
1,Dallas,7.2
2,Pittsburgh,7.0
3,Atlanta,6.9
4,Tennessee,6.9
5,Miami,6.4
5,Indianapolis,6.4
7,Carolina,6.4
8,Kansas City,6.4
9,NY Giants,6.3
10,Cincinnati,6.1
11,Jacksonville,6.1
11,Denver,6.1
13,Las Vegas,5.9
13,Arizona,5.9
15,LA Chargers,5.8
16,Cleveland,5.8
16,Baltimore,5.8
18,San Francisco,5.8
19,New England,5.7
20,Buffalo,5.7
21,Washington,5.6
21,Seattle,5.6
23,Chicago,5.5
23,Minnesota,5.5
25,Philadelphia,5.3
26,New Orleans,5.2
26,Houston,5.2
28,LA Rams,5.2
29,Green Bay,5.2
30,Detroit,5.1
31,NY Jets,4.9
32,Tampa Bay,4.6
