Rank,Team,2021 opponent-penalty-first-downs-per-game
1,LA Chargers,2.4
2,San Francisco,2.3
3,Dallas,2.3
4,Buffalo,2.3
5,NY Jets,2.2
6,Seattle,2.1
6,Minnesota,2.1
8,Las Vegas,2.1
9,New Orleans,2.1
9,Chicago,2.1
9,Cleveland,2.1
12,Tennessee,2.1
13,Tampa Bay,2.1
14,Arizona,2.0
14,Philadelphia,2.0
16,Miami,1.9
17,Kansas City,1.8
18,Jacksonville,1.7
18,Houston,1.7
18,Carolina,1.7
21,Baltimore,1.6
22,Atlanta,1.5
22,Detroit,1.5
24,Washington,1.5
25,Pittsburgh,1.4
26,NY Giants,1.4
27,New England,1.3
27,Green Bay,1.3
29,LA Rams,1.2
29,Cincinnati,1.2
31,Denver,1.2
32,Indianapolis,1.2
