Rank,Team,2021 opponent-punt-attempts-per-game
1,LA Chargers,2.7
2,Detroit,2.8
3,New England,3.1
4,Atlanta,3.1
5,Kansas City,3.3
6,Houston,3.4
7,Green Bay,3.4
8,NY Jets,3.5
9,Arizona,3.5
10,Denver,3.5
11,Indianapolis,3.6
12,Washington,3.7
12,Chicago,3.7
14,Jacksonville,3.8
14,Minnesota,3.8
16,Las Vegas,3.9
16,Philadelphia,3.9
18,LA Rams,3.9
19,NY Giants,3.9
20,Tennessee,4.0
20,Seattle,4.0
22,San Francisco,4.1
23,Dallas,4.2
24,Cleveland,4.2
25,Tampa Bay,4.2
25,Buffalo,4.2
27,Cincinnati,4.3
28,Miami,4.4
28,Carolina,4.4
30,Pittsburgh,4.6
31,New Orleans,4.8
32,Baltimore,4.9
