Rank,Team,2021 opponent-red-zone-scores-per-game
1,New Orleans,1.2
2,Denver,1.2
3,Buffalo,1.5
4,Baltimore,1.6
5,Dallas,1.6
5,New England,1.6
7,LA Rams,1.6
8,Tennessee,1.7
9,Chicago,1.8
9,Miami,1.8
11,Tampa Bay,1.8
12,Seattle,1.8
13,Green Bay,1.8
14,Pittsburgh,1.9
14,Arizona,1.9
16,San Francisco,1.9
16,Kansas City,1.9
18,Cincinnati,1.9
19,Minnesota,1.9
20,Cleveland,2.0
20,Indianapolis,2.0
22,Las Vegas,2.1
23,Washington,2.1
23,Carolina,2.1
25,NY Giants,2.2
26,Jacksonville,2.2
27,Philadelphia,2.4
28,Houston,2.4
29,Detroit,2.5
30,LA Chargers,2.5
31,Atlanta,2.6
32,NY Jets,2.6
