Rank,Team,2021 opponent-rushing-first-downs-per-game
1,Baltimore,4.8
2,New Orleans,4.9
3,Tennessee,5.2
4,Tampa Bay,5.4
5,San Francisco,5.7
6,Denver,5.8
7,Dallas,5.9
8,Washington,5.9
8,Indianapolis,5.9
10,Cincinnati,6.0
11,LA Rams,6.1
12,Miami,6.2
13,Las Vegas,6.3
13,Arizona,6.3
15,Buffalo,6.3
16,Cleveland,6.4
17,Carolina,6.6
18,Chicago,6.8
19,Philadelphia,6.8
20,New England,6.9
20,Green Bay,6.9
22,Kansas City,7.1
23,Jacksonville,7.3
23,Seattle,7.3
25,NY Giants,7.4
26,NY Jets,7.6
27,Minnesota,7.7
28,Detroit,7.9
28,Houston,7.9
30,Pittsburgh,8.3
31,Atlanta,8.4
32,LA Chargers,8.5
