Rank,Team,2021 opponent-rushing-touchdowns-per-game
1,Denver,0.5
2,Indianapolis,0.6
3,Arizona,0.6
3,New England,0.6
5,Tampa Bay,0.7
6,New Orleans,0.7
7,Green Bay,0.7
8,Cincinnati,0.8
9,Cleveland,0.8
9,Baltimore,0.8
11,Kansas City,0.8
12,Washington,0.8
12,Chicago,0.8
14,Dallas,0.8
14,Tennessee,0.8
16,NY Giants,0.9
16,Minnesota,0.9
18,Miami,0.9
18,Carolina,0.9
18,Seattle,0.9
21,Pittsburgh,0.9
22,San Francisco,1.0
23,Las Vegas,1.0
23,LA Rams,1.0
25,Buffalo,1.1
26,Philadelphia,1.1
27,Atlanta,1.1
27,Detroit,1.1
29,Jacksonville,1.3
29,LA Chargers,1.3
31,Houston,1.5
32,NY Jets,1.6
