Rank,Team,2021 opponent-solo-tackles-per-game
1,Seattle,33.6
2,Atlanta,34.6
3,Jacksonville,35.1
4,New Orleans,35.7
5,Denver,36.1
6,San Francisco,36.2
7,NY Giants,36.2
8,NY Jets,36.9
9,Cincinnati,37.6
10,Houston,37.6
11,Carolina,38.1
12,LA Rams,38.3
13,Las Vegas,38.4
14,Tampa Bay,38.4
15,Cleveland,38.6
16,Philadelphia,38.7
17,Chicago,38.9
18,Green Bay,39.0
19,Indianapolis,39.4
20,Kansas City,39.5
21,LA Chargers,39.5
22,Washington,39.8
23,Detroit,39.9
24,Buffalo,40.5
25,Pittsburgh,40.6
26,Miami,40.6
26,Minnesota,40.6
28,New England,40.8
29,Dallas,40.8
30,Arizona,41.4
31,Tennessee,45.1
32,Baltimore,45.6
