Rank,Team,2021 opponent-special-teams-points-per-game
1,Dallas,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Detroit,0.0
1,Chicago,0.0
1,NY Jets,0.0
1,Miami,0.0
1,Tennessee,0.0
1,Cleveland,0.0
1,Houston,0.0
1,Tampa Bay,0.0
1,Kansas City,0.0
1,LA Chargers,0.0
1,NY Giants,0.0
1,LA Rams,0.0
1,Cincinnati,0.0
1,Seattle,0.0
1,Philadelphia,0.0
1,Indianapolis,0.0
20,San Francisco,0.4
21,Buffalo,0.4
22,Las Vegas,0.4
22,Arizona,0.4
22,New England,0.4
25,Washington,0.4
25,Carolina,0.4
25,Baltimore,0.4
28,Green Bay,0.8
29,Atlanta,0.8
29,Denver,0.8
29,Minnesota,0.8
32,Jacksonville,1.6
