Rank,Team,2021 opponent-third-down-conversion-pct
1,Buffalo,33.61%
2,Dallas,34.75%
3,Baltimore,34.83%
4,Minnesota,36.45%
5,New Orleans,37.08%
6,Tennessee,37.33%
7,LA Rams,37.55%
8,Carolina,37.79%
9,New England,38.07%
10,Tampa Bay,38.25%
11,Chicago,38.39%
12,Pittsburgh,38.52%
13,Arizona,38.64%
14,Cleveland,39.27%
15,Seattle,39.29%
16,Las Vegas,39.67%
17,NY Giants,39.82%
18,Indianapolis,40.48%
19,Miami,41.13%
20,Cincinnati,41.24%
21,San Francisco,41.29%
22,Kansas City,41.56%
23,Philadelphia,42.17%
24,Green Bay,42.52%
25,Jacksonville,42.99%
26,Houston,43.20%
27,NY Jets,44.39%
28,Denver,44.89%
29,Detroit,45.10%
30,Atlanta,48.39%
31,Washington,48.47%
32,LA Chargers,49.54%
