Rank,Team,2021 opponent-third-downs-per-game
1,Baltimore,11.8
2,Green Bay,11.9
3,Detroit,12.0
4,New England,12.1
5,Houston,12.1
6,Kansas City,12.2
7,Arizona,12.2
8,Indianapolis,12.4
9,Chicago,12.4
10,Tennessee,12.5
11,Minnesota,12.6
12,Buffalo,12.7
13,LA Chargers,12.7
14,Atlanta,12.8
14,Carolina,12.8
16,Philadelphia,12.8
17,LA Rams,12.8
18,Cleveland,12.9
19,Jacksonville,13.0
20,Cincinnati,13.0
21,Dallas,13.1
22,NY Jets,13.1
23,Seattle,13.2
24,San Francisco,13.2
25,Tampa Bay,13.2
26,Denver,13.2
27,NY Giants,13.3
28,Las Vegas,13.4
29,Washington,13.5
30,Pittsburgh,13.6
31,Miami,13.6
32,New Orleans,14.1
