Rank,Team,2021 opponent-time-of-possession-pct-net-of-ot
1,Green Bay,45.63%
2,Tennessee,46.14%
3,Baltimore,46.33%
4,Indianapolis,46.83%
5,Buffalo,47.66%
6,Arizona,48.56%
7,Kansas City,48.58%
8,Denver,48.66%
9,Cleveland,48.66%
10,Washington,48.78%
11,Carolina,48.78%
12,Cincinnati,48.83%
13,New Orleans,48.96%
14,New England,49.32%
15,Chicago,49.45%
16,Miami,49.50%
17,San Francisco,49.51%
18,Tampa Bay,49.67%
19,Dallas,49.80%
20,LA Rams,50.05%
21,Philadelphia,50.40%
22,Las Vegas,50.69%
23,LA Chargers,51.08%
24,Pittsburgh,51.10%
25,Minnesota,51.47%
26,Detroit,51.92%
27,NY Giants,52.65%
28,Houston,52.94%
29,Atlanta,53.06%
30,NY Jets,54.13%
31,Jacksonville,54.40%
32,Seattle,57.85%
