Rank,Team,2021 opponent-two-point-conversions-per-game
1,Pittsburgh,0.0
1,Miami,0.0
1,New England,0.0
1,NY Giants,0.0
5,Philadelphia,0.1
6,Washington,0.1
6,New Orleans,0.1
6,Chicago,0.1
6,Jacksonville,0.1
6,Cleveland,0.1
6,Baltimore,0.1
12,Cincinnati,0.1
13,Tennessee,0.1
14,Detroit,0.1
14,NY Jets,0.1
14,Carolina,0.1
14,Seattle,0.1
18,Tampa Bay,0.2
18,Buffalo,0.2
20,Arizona,0.2
20,Green Bay,0.2
22,Houston,0.2
22,Denver,0.2
24,LA Rams,0.2
25,San Francisco,0.2
25,Kansas City,0.2
27,Dallas,0.2
27,Las Vegas,0.2
29,LA Chargers,0.2
30,Atlanta,0.3
30,Minnesota,0.3
30,Indianapolis,0.3
