Rank,Team,2021 pass-intercepted-pct
1,Green Bay,1.13%
2,Minnesota,1.16%
3,Seattle,1.41%
4,Indianapolis,1.54%
5,Pittsburgh,1.55%
6,Tampa Bay,1.58%
7,Denver,1.66%
8,Dallas,1.74%
9,Kansas City,2.01%
10,Arizona,2.08%
11,Las Vegas,2.20%
12,LA Chargers,2.23%
13,Buffalo,2.23%
14,Philadelphia,2.23%
15,Miami,2.28%
16,Cincinnati,2.29%
17,Detroit,2.36%
18,New Orleans,2.58%
19,Atlanta,2.62%
19,New England,2.62%
21,Cleveland,2.69%
22,Washington,2.73%
23,Houston,2.75%
24,LA Rams,2.80%
25,Jacksonville,2.81%
26,San Francisco,2.89%
27,Baltimore,2.95%
28,Tennessee,3.04%
29,NY Jets,3.32%
30,NY Giants,3.37%
31,Carolina,3.51%
32,Chicago,3.69%
