Rank,Team,2021 passing-first-down-pct
1,Tampa Bay,67.34%
2,LA Rams,66.67%
3,Kansas City,64.93%
4,Atlanta,64.05%
5,Pittsburgh,64.04%
6,LA Chargers,63.84%
7,Dallas,63.41%
8,Miami,63.38%
9,Cincinnati,62.99%
10,NY Jets,62.90%
11,Green Bay,62.47%
12,Las Vegas,62.37%
13,Houston,60.90%
14,Minnesota,60.84%
15,Detroit,58.66%
16,Jacksonville,58.55%
17,Buffalo,58.44%
18,Arizona,58.01%
19,NY Giants,57.19%
20,San Francisco,56.10%
21,Seattle,54.97%
22,Denver,54.08%
23,Chicago,54.05%
24,Carolina,54.04%
25,New Orleans,53.75%
26,Tennessee,53.70%
27,Baltimore,53.05%
28,Washington,52.46%
29,New England,52.36%
30,Cleveland,51.75%
31,Philadelphia,48.36%
32,Indianapolis,47.18%
