Rank,Team,2021 points-per-field-goal-attempt
1,Baltimore,2.8
2,Las Vegas,2.8
3,Atlanta,2.8
4,New England,2.8
5,LA Rams,2.7
5,Philadelphia,2.7
7,Pittsburgh,2.7
8,Carolina,2.7
9,Cincinnati,2.7
10,LA Chargers,2.7
11,NY Giants,2.6
12,Buffalo,2.6
13,San Francisco,2.6
13,Minnesota,2.6
15,Detroit,2.6
15,Chicago,2.6
17,Kansas City,2.6
18,Washington,2.5
19,Denver,2.5
20,Dallas,2.5
20,New Orleans,2.5
22,Indianapolis,2.5
23,Tennessee,2.5
24,Arizona,2.4
25,Tampa Bay,2.4
26,Jacksonville,2.3
26,NY Jets,2.3
26,Houston,2.3
29,Miami,2.2
30,Seattle,2.2
31,Cleveland,2.2
32,Green Bay,2.2
