Rank,Team,2021 points-per-game
1,Dallas,30.4
2,Tampa Bay,29.9
3,Buffalo,29.8
4,Kansas City,29.4
5,LA Chargers,27.9
6,LA Rams,27.0
7,New England,26.6
8,Indianapolis,26.5
9,Cincinnati,26.3
10,Arizona,25.6
10,Green Bay,25.6
12,Philadelphia,25.5
13,Minnesota,25.0
14,Tennessee,24.2
15,San Francisco,24.0
16,Seattle,23.2
17,Baltimore,22.8
18,Las Vegas,21.8
19,New Orleans,21.4
20,Cleveland,20.5
21,Pittsburgh,20.2
22,Miami,20.1
23,Washington,19.7
23,Denver,19.7
25,Detroit,19.1
26,Atlanta,18.4
27,Chicago,18.3
28,NY Jets,18.2
29,Carolina,17.9
30,Houston,16.5
31,NY Giants,15.2
32,Jacksonville,14.9
