Rank,Team,2021 points-per-play-margin
1,Buffalo,0.146
2,Tampa Bay,0.119
3,Dallas,0.115
4,New England,0.11
5,Seattle,0.109
6,LA Rams,0.097
7,Kansas City,0.082
8,Cincinnati,0.081
9,Indianapolis,0.081
10,San Francisco,0.062
11,Green Bay,0.056
12,Philadelphia,0.041
13,New Orleans,0.031
14,Tennessee,0.029
15,Minnesota,0.023
16,Arizona,0.021
17,Denver,0.013
18,LA Chargers,0.004
19,Cleveland,-0.02
20,Miami,-0.034
21,Baltimore,-0.053
22,Las Vegas,-0.059
23,Pittsburgh,-0.064
24,Washington,-0.094
25,Atlanta,-0.101
26,Chicago,-0.114
27,Carolina,-0.118
28,Detroit,-0.12
29,NY Giants,-0.12
30,Houston,-0.133
31,NY Jets,-0.141
32,Jacksonville,-0.182
