Rank,Team,2021 punt-attempts-per-game
1,Houston,5.2
2,New Orleans,4.9
2,Seattle,4.9
4,Pittsburgh,4.7
5,Minnesota,4.6
6,Miami,4.6
7,Carolina,4.4
8,NY Giants,4.4
9,Jacksonville,4.2
10,NY Jets,4.2
10,Baltimore,4.2
12,Cleveland,3.9
12,Denver,3.9
14,Cincinnati,3.9
15,Dallas,3.9
16,Atlanta,3.9
17,Tampa Bay,3.8
18,Detroit,3.8
19,Washington,3.7
20,Las Vegas,3.7
21,San Francisco,3.7
22,Chicago,3.6
23,Indianapolis,3.5
24,Tennessee,3.4
25,Philadelphia,3.4
26,Green Bay,3.3
27,LA Rams,3.2
28,Arizona,3.2
29,New England,3.1
30,Buffalo,3.0
31,LA Chargers,2.8
32,Kansas City,2.5
