Rank,Team,2021 punt-blocked-pct
1,Dallas,0.00%
1,Pittsburgh,0.00%
1,New Orleans,0.00%
1,Las Vegas,0.00%
1,Detroit,0.00%
1,Chicago,0.00%
1,San Francisco,0.00%
1,Miami,0.00%
1,Tennessee,0.00%
1,Cleveland,0.00%
1,Houston,0.00%
1,Tampa Bay,0.00%
1,Arizona,0.00%
1,Kansas City,0.00%
1,Denver,0.00%
1,NY Giants,0.00%
1,LA Rams,0.00%
1,Cincinnati,0.00%
1,Baltimore,0.00%
1,Seattle,0.00%
1,Philadelphia,0.00%
1,Indianapolis,0.00%
23,Minnesota,1.27%
24,Jacksonville,1.39%
25,NY Jets,1.41%
26,Atlanta,1.52%
27,Washington,1.59%
28,Green Bay,1.69%
29,Buffalo,1.75%
30,LA Chargers,2.08%
31,Carolina,2.67%
32,New England,5.45%
