Rank,Team,2021 qb-sacked-pct
1,Tampa Bay,3.52%
2,Buffalo,3.89%
3,LA Chargers,4.40%
4,Kansas City,4.43%
5,Minnesota,4.73%
6,LA Rams,4.83%
7,Jacksonville,5.03%
8,New England,5.13%
9,Dallas,5.21%
10,Pittsburgh,5.35%
11,Detroit,5.72%
12,Green Bay,5.76%
13,Indianapolis,5.79%
14,Philadelphia,5.79%
15,San Francisco,5.92%
16,Las Vegas,5.93%
17,NY Giants,6.02%
18,Miami,6.11%
19,Arizona,6.16%
20,Atlanta,6.53%
21,New Orleans,6.84%
22,Denver,6.88%
23,Washington,7.25%
24,Houston,7.46%
25,Tennessee,7.91%
26,Carolina,7.99%
27,NY Jets,8.08%
28,Seattle,8.50%
29,Baltimore,8.53%
30,Cleveland,8.61%
31,Cincinnati,9.59%
32,Chicago,9.67%
