Rank,Team,2021 red-zone-scores-per-game
1,Buffalo,3.0
2,LA Chargers,2.8
3,Tampa Bay,2.6
4,Kansas City,2.6
5,LA Rams,2.5
6,Dallas,2.3
6,Green Bay,2.3
8,New England,2.3
9,Tennessee,2.2
9,Arizona,2.2
11,Philadelphia,2.2
12,Indianapolis,2.1
13,Baltimore,2.0
14,New Orleans,1.9
14,Minnesota,1.9
16,San Francisco,1.9
17,Cleveland,1.8
17,Seattle,1.8
19,Las Vegas,1.8
20,Miami,1.8
21,Cincinnati,1.7
22,Atlanta,1.7
22,Denver,1.7
24,NY Jets,1.6
25,Pittsburgh,1.6
26,Washington,1.5
27,Carolina,1.5
28,Chicago,1.4
29,Detroit,1.2
30,Jacksonville,1.2
31,Houston,1.1
32,NY Giants,1.0
