Rank,Team,2021 rushing-first-downs-per-game
1,Baltimore,9.4
2,Philadelphia,9.2
3,Indianapolis,9.1
4,Buffalo,8.3
5,Cleveland,8.1
6,New England,8.0
7,Tennessee,7.8
8,Washington,7.6
9,Arizona,7.4
10,Denver,7.3
11,San Francisco,7.2
12,Chicago,7.0
13,Carolina,6.9
14,Kansas City,6.9
15,New Orleans,6.6
16,LA Chargers,6.6
17,Dallas,6.6
18,Green Bay,6.3
19,Tampa Bay,6.3
20,Seattle,6.2
21,Detroit,6.1
22,Minnesota,6.1
23,Cincinnati,5.6
24,Las Vegas,5.5
25,LA Rams,5.5
26,Jacksonville,5.4
27,NY Giants,5.3
28,NY Jets,5.1
28,Miami,5.1
30,Pittsburgh,4.9
31,Houston,4.5
32,Atlanta,4.4
