Rank,Team,2021 rushing-yards-per-game
1,Philadelphia,156.1
2,Indianapolis,149.4
3,Baltimore,145.8
4,Cleveland,145.4
5,Tennessee,141.3
6,Buffalo,131.2
7,San Francisco,124.6
8,New England,124.4
9,Dallas,122.0
9,Seattle,122.0
11,Washington,121.2
12,Denver,119.1
13,Kansas City,119.1
14,Arizona,118.7
15,Chicago,118.7
16,New Orleans,117.1
17,Minnesota,113.5
18,Detroit,110.9
19,Green Bay,109.3
20,Carolina,108.4
21,LA Chargers,107.9
22,Jacksonville,103.2
23,NY Giants,99.3
24,Cincinnati,99.3
25,NY Jets,98.1
26,Tampa Bay,96.3
27,LA Rams,95.7
28,Las Vegas,95.6
29,Miami,92.2
30,Pittsburgh,91.1
31,Atlanta,85.4
32,Houston,83.6
