Rank,Team,2021 solo-tackles-per-game
1,Seattle,44.6
2,Pittsburgh,42.1
3,Minnesota,41.8
4,NY Jets,41.7
5,Indianapolis,40.8
6,Houston,40.5
7,Tampa Bay,40.3
8,LA Chargers,40.2
9,Atlanta,39.6
10,LA Rams,39.6
11,NY Giants,39.1
12,Jacksonville,39.1
13,Detroit,39.0
14,Cincinnati,38.7
15,Las Vegas,38.4
16,Arizona,38.3
17,Tennessee,38.2
17,New England,38.2
19,Buffalo,38.1
20,San Francisco,37.9
21,Green Bay,37.9
22,Cleveland,37.8
23,Miami,37.8
24,Kansas City,37.8
25,Dallas,37.7
26,New Orleans,37.7
27,Washington,37.3
28,Chicago,37.2
29,Philadelphia,36.8
30,Carolina,36.6
31,Baltimore,36.2
32,Denver,35.6
