Rank,Team,2021 tackles-per-game
1,Seattle,72.4
2,NY Giants,68.1
3,Minnesota,66.7
4,NY Jets,66.0
5,Atlanta,65.9
6,Philadelphia,65.5
7,Houston,64.6
8,LA Rams,64.0
9,LA Chargers,63.4
10,Pittsburgh,63.3
11,Las Vegas,63.1
12,Detroit,62.6
12,Jacksonville,62.6
14,Cincinnati,60.8
15,Washington,60.4
16,San Francisco,60.2
17,Miami,60.1
18,New England,59.1
19,Kansas City,59.0
20,Indianapolis,58.9
21,Cleveland,58.8
22,Carolina,58.5
23,Arizona,58.4
24,New Orleans,58.1
25,Chicago,58.0
26,Dallas,57.8
27,Tampa Bay,57.5
28,Denver,56.9
29,Tennessee,56.8
30,Baltimore,55.8
31,Buffalo,55.6
32,Green Bay,54.2
