Rank,Team,2021 two-point-conversion-attempts-per-game
1,LA Chargers,0.6
2,Dallas,0.6
3,NY Jets,0.5
4,Washington,0.5
4,Baltimore,0.5
6,Minnesota,0.4
7,Philadelphia,0.4
8,Buffalo,0.4
9,Indianapolis,0.4
10,New Orleans,0.3
10,Detroit,0.3
10,Jacksonville,0.3
10,NY Giants,0.3
14,Cincinnati,0.3
15,Pittsburgh,0.3
16,Chicago,0.2
16,Cleveland,0.2
16,Carolina,0.2
19,Arizona,0.2
19,New England,0.2
21,LA Rams,0.2
22,Atlanta,0.2
22,Miami,0.2
22,Denver,0.2
22,Seattle,0.2
26,Las Vegas,0.2
26,Tennessee,0.2
26,Green Bay,0.2
29,Tampa Bay,0.2
30,Kansas City,0.2
31,Houston,0.1
32,San Francisco,0.1
