Rank,Team,2021 yards-per-game
1,Kansas City,407.6
2,Dallas,401.4
3,Tampa Bay,400.5
4,LA Chargers,390.2
5,Buffalo,389.3
6,Baltimore,378.8
7,LA Rams,373.2
8,Las Vegas,364.9
9,Arizona,363.1
10,Minnesota,362.8
11,San Francisco,361.1
12,Green Bay,359.9
13,Philadelphia,358.8
14,Cincinnati,355.3
15,New England,350.7
16,Indianapolis,347.1
17,Tennessee,343.1
18,Cleveland,340.6
19,Denver,330.5
20,Seattle,323.9
21,Washington,323.6
22,Detroit,322.6
23,Pittsburgh,312.1
24,Chicago,307.4
25,Miami,307.0
26,NY Jets,306.4
27,Jacksonville,305.4
28,New Orleans,304.5
29,Atlanta,303.8
30,Carolina,298.9
31,NY Giants,287.3
32,Houston,278.1
