Rank,Team,2021 yards-per-point
1,Buffalo,13.1
2,Indianapolis,13.1
3,New England,13.2
4,Dallas,13.2
5,Tampa Bay,13.4
6,Cincinnati,13.5
7,LA Rams,13.8
8,Kansas City,13.9
9,Seattle,13.9
10,LA Chargers,14.0
11,Philadelphia,14.1
12,Green Bay,14.1
13,Tennessee,14.2
14,Arizona,14.2
15,New Orleans,14.2
16,Minnesota,14.5
17,San Francisco,15.0
18,Miami,15.3
19,Pittsburgh,15.4
20,Washington,16.4
21,Atlanta,16.5
22,Cleveland,16.6
23,Baltimore,16.6
24,Carolina,16.7
25,Las Vegas,16.7
26,Denver,16.8
27,NY Jets,16.8
28,Chicago,16.8
29,Detroit,16.9
30,Houston,16.9
31,NY Giants,18.9
32,Jacksonville,20.5
