Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Cleveland,56.05%,58.61%,59.44%,53.35%,59.28%,51.67%
2,Baltimore,55.95%,59.80%,62.72%,54.48%,57.19%,55.26%
3,Pittsburgh,53.28%,59.91%,73.22%,53.36%,53.22%,48.76%
4,Cincinnati,52.86%,59.83%,54.50%,59.25%,49.21%,49.07%
5,Philadelphia,52.77%,43.15%,54.83%,52.00%,53.69%,48.81%
6,Las Vegas,52.26%,54.85%,55.83%,54.07%,51.23%,48.20%
7,Chicago,51.89%,51.74%,42.50%,58.02%,47.52%,51.63%
8,Tennessee,51.61%,51.31%,45.50%,50.37%,52.65%,53.98%
9,Washington,51.24%,62.76%,44.83%,48.07%,54.41%,50.43%
10,Detroit,50.74%,50.52%,56.28%,49.31%,52.46%,48.69%
11,LA Rams,50.68%,49.57%,52.11%,51.27%,49.98%,53.10%
12,Minnesota,50.61%,48.44%,67.17%,55.11%,45.21%,48.11%
13,Green Bay,50.07%,42.94%,45.17%,48.02%,51.53%,55.54%
14,Atlanta,49.91%,44.70%,55.17%,50.81%,49.02%,48.89%
15,Buffalo,49.68%,48.15%,65.17%,50.40%,49.32%,52.18%
16,San Francisco,49.64%,52.52%,67.28%,55.20%,45.01%,48.82%
17,Arizona,49.53%,56.93%,55.61%,46.63%,52.43%,48.57%
18,Indianapolis,49.47%,41.11%,26.78%,48.75%,50.19%,51.52%
19,Miami,49.30%,45.48%,56.78%,51.38%,46.81%,51.66%
20,LA Chargers,49.29%,49.91%,44.39%,51.30%,47.62%,49.00%
21,Kansas City,49.16%,45.54%,47.89%,47.69%,50.92%,49.88%
22,Tampa Bay,49.11%,53.91%,40.56%,47.07%,50.81%,49.33%
23,Jacksonville,48.73%,45.50%,37.28%,48.63%,48.81%,46.06%
24,Seattle,48.68%,45.63%,44.17%,51.29%,46.50%,40.97%
25,Dallas,48.51%,57.41%,54.83%,48.63%,48.37%,54.60%
26,New England,48.35%,42.98%,34.83%,46.28%,50.43%,48.50%
27,NY Jets,48.12%,48.83%,57.50%,51.59%,43.96%,45.32%
28,Carolina,47.75%,56.63%,62.94%,50.81%,43.48%,53.26%
29,NY Giants,47.75%,52.41%,45.17%,48.81%,46.48%,46.25%
30,New Orleans,46.71%,40.93%,32.72%,50.80%,42.62%,51.73%
31,Denver,46.60%,44.69%,37.06%,49.26%,44.39%,50.06%
32,Houston,44.18%,40.54%,43.22%,43.71%,44.56%,49.26%
