Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Baltimore,58.87%,62.96%,69.56%,58.62%,59.07%,54.13%
2,Cincinnati,57.41%,57.63%,40.11%,67.58%,51.60%,50.30%
3,Atlanta,57.25%,55.19%,56.11%,63.81%,50.69%,50.35%
4,Cleveland,55.20%,63.63%,54.67%,50.07%,61.36%,52.30%
5,Philadelphia,54.77%,49.37%,65.67%,55.78%,53.56%,47.37%
6,Las Vegas,54.59%,53.22%,52.78%,54.53%,54.62%,50.40%
7,New England,54.37%,48.89%,35.44%,51.37%,57.37%,48.19%
8,Buffalo,53.03%,41.81%,64.56%,56.33%,51.38%,52.54%
9,Green Bay,52.55%,52.74%,34.33%,57.18%,49.24%,53.20%
10,Pittsburgh,52.45%,65.70%,84.89%,52.11%,52.74%,49.07%
11,Kansas City,52.24%,53.85%,41.67%,50.63%,54.18%,52.38%
12,LA Rams,52.03%,51.70%,58.33%,50.52%,53.84%,52.15%
13,Indianapolis,51.18%,43.81%,15.11%,49.31%,53.04%,47.37%
14,Tampa Bay,51.01%,52.85%,45.33%,52.00%,50.19%,49.45%
15,Chicago,50.90%,50.37%,56.00%,61.89%,43.05%,51.47%
16,Jacksonville,50.74%,37.41%,30.44%,46.60%,54.19%,43.45%
17,Minnesota,50.13%,47.63%,62.67%,55.93%,43.18%,49.75%
18,Dallas,49.72%,51.59%,64.78%,56.24%,41.89%,58.03%
19,San Francisco,49.37%,48.70%,56.89%,54.36%,45.22%,49.83%
20,Detroit,49.24%,54.00%,61.44%,45.24%,54.04%,48.29%
21,New Orleans,48.45%,46.44%,43.11%,52.11%,44.80%,51.01%
22,Tennessee,48.20%,51.67%,59.89%,59.11%,39.11%,54.40%
23,Seattle,48.11%,49.81%,47.22%,48.22%,48.02%,42.63%
24,Washington,47.16%,56.59%,43.89%,46.81%,47.50%,49.71%
25,NY Giants,46.27%,50.26%,35.22%,48.94%,43.07%,49.46%
26,Miami,46.26%,41.26%,59.00%,51.98%,39.40%,52.79%
27,Carolina,45.78%,54.30%,72.44%,48.10%,42.53%,55.76%
28,Arizona,45.23%,55.37%,64.44%,40.59%,49.87%,45.02%
29,Houston,44.23%,39.56%,41.00%,44.89%,43.69%,49.86%
30,NY Jets,42.71%,36.63%,44.00%,44.93%,40.04%,40.52%
31,Denver,41.64%,33.04%,27.56%,41.93%,41.39%,51.76%
32,LA Chargers,38.37%,38.85%,35.56%,38.64%,38.15%,45.53%
