Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Washington,57.98%,57.78%,65.67%,59.83%,56.12%,52.01%
2,NY Giants,56.07%,44.69%,41.00%,55.60%,56.63%,48.96%
3,San Francisco,54.69%,59.67%,48.83%,57.69%,52.19%,52.67%
4,Cincinnati,54.08%,54.30%,51.39%,58.94%,51.07%,53.76%
5,Kansas City,53.22%,52.76%,60.22%,54.54%,51.57%,52.92%
6,Jacksonville,52.67%,56.07%,53.89%,52.74%,52.61%,45.15%
7,Arizona,52.55%,46.91%,46.33%,48.71%,56.26%,54.30%
8,Baltimore,51.84%,55.39%,46.11%,52.63%,51.18%,52.69%
9,Green Bay,51.51%,50.81%,36.28%,57.93%,46.40%,53.15%
10,Denver,51.27%,49.82%,39.44%,54.91%,48.18%,52.63%
11,Miami,51.17%,55.54%,51.39%,48.47%,54.41%,49.09%
12,Philadelphia,50.97%,50.78%,63.72%,54.36%,46.91%,50.38%
13,Buffalo,50.76%,60.96%,61.94%,42.64%,55.13%,51.93%
14,Cleveland,50.76%,44.59%,53.51%,54.36%,46.21%,51.00%
15,New England,50.46%,47.11%,38.06%,49.34%,51.52%,52.66%
16,New Orleans,49.81%,45.02%,51.17%,53.81%,45.80%,49.85%
17,Chicago,49.55%,50.80%,50.56%,44.69%,53.02%,49.46%
18,LA Rams,49.51%,44.24%,39.78%,51.40%,47.23%,46.33%
19,Indianapolis,49.32%,53.65%,58.67%,52.31%,46.59%,54.23%
20,Houston,48.93%,47.56%,48.61%,47.01%,50.64%,44.86%
21,Pittsburgh,48.86%,53.09%,41.33%,49.13%,48.64%,48.97%
22,LA Chargers,48.75%,44.26%,53.67%,47.23%,50.07%,48.29%
23,NY Jets,48.54%,50.41%,49.44%,48.58%,48.49%,46.60%
24,Dallas,48.46%,52.49%,59.00%,44.29%,53.24%,45.80%
25,Las Vegas,47.74%,53.31%,58.41%,48.73%,47.17%,51.57%
26,Minnesota,47.26%,50.93%,53.78%,46.21%,48.45%,48.36%
27,Atlanta,46.98%,41.39%,34.33%,49.54%,44.30%,44.99%
28,Tampa Bay,46.74%,50.44%,46.49%,39.78%,52.25%,51.50%
29,Tennessee,46.37%,45.07%,48.61%,47.09%,45.80%,53.82%
30,Detroit,45.98%,50.78%,38.94%,41.12%,51.82%,47.72%
31,Seattle,44.69%,46.64%,41.59%,41.73%,47.24%,43.18%
32,Carolina,42.78%,52.28%,60.56%,46.10%,38.39%,48.77%
